CRI_CID_CUST_ID,CRI_RID_REM_INSTR,CRI_IND_LOAN,CRI_IND_SBLC,CRI_IND_INCOMING,CRI_IND_OUTGOING,CRI_IND_PRINCIPAL,CRI_IND_INTEREST,CRI_IND_FEES,CRI_DSC_REM_INSTR,CRI_CDE_REM_METHOD,CRI_IND_DEFAULT,CRI_TSP_REC_CREATE,CRI_TSP_REC_UPDATE,CRI_UID_REC_CREATE,CRI_UID_REC_UPDATE,CRI_CDE_CURRENCY,CRI_IND_APPROVED,CRI_IND_AUTO_DOIT,CRI_IND_SIMPLIFIED,CRI_XID_DDA_ACCT,CRI_CDE_CHIPS_NUM,CRI_CDE_ABA_NUM,CRI_XID_CHIPS_UID,CRI_XID_BENF_ACCT,CRI_CDE_BENF_TYPE,CRI_CDE_DIVISION,CRI_UID_APPRV_USER,CRI_XID_BOOK_AC_NO,CRI_XID_SWIFT_BIC,CRI_CDE_NOSTRO_NTF,CRI_TXT_TLX_DL_DGS,CRI_TXT_TLX_ANS_BK,CRI_NME_DDA_ACCT,CRI_TXT_IMT_FAX,CRI_AMT_IMT_THRSHL,CRI_XID_CUSTODY_AC,CRI_IND_SAVINGS_AC,CRI_CDE_BRANCH
)3EF892G,EZEF8E41,Y,Y,N,Y,Y,Y,Y,"RTGS1- TO CUSTOMER  ","RTGS ",Y,2020-08-20 20:10:49,2020-08-20 20:18:54,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,{BACKSPACE}Account Name: BE Pty Ltd as trustee for the Dances With Wolves Family Trust Account Number: 082674 50974821,0,,N,
E8EF8FP7,EJEF8G2J,Y,Y,N,Y,Y,Y,Y,"RTGS1- TO CUSTOMER  ","RTGS ",Y,2020-08-20 21:21:42,2020-08-20 21:29:12,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,{BACKSPACE}Account Name: BE Pty Ltd as trustee for the Dances With Wolves Family Trust Account Number: 082674 50974821,0,,N,
E8EF8FP7,EJEF8GG0,Y,Y,Y,N,Y,Y,Y,RTGS2- FROM CUSTOMER,"RTGS ",Y,2020-08-20 21:23:11,2020-08-20 21:29:32,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,,0,,N,
YPEFEVVD,YEEFEY8G,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-24 09:25:07,2020-08-24 09:32:44,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
Y3EFEZQB,Y3EFEZR1,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-24 10:25:07,2020-08-24 10:36:21,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
Y3EFEZQB,Y3EFF076,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-24 10:27:38,2020-08-24 10:36:55,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
Y@EFF0L8,Y@EFF0LT,Y,Y,Y,Y,Y,Y,Y,"IMTEURO             ","IMT  ",Y,2020-08-24 10:31:53,2020-08-24 11:34:24,CMARTILL,RPTMGR01,EUR,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,0,,N,
Y@EFF0L8,Y@EFF0VN,Y,Y,Y,N,Y,Y,Y,"EUR_IMT_FROM_210    ","IMT  ",Y,2020-08-24 10:34:30,2020-08-24 11:34:04,CMARTILL,RPTMGR01,EUR,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,0,,N,
A$DPARLG,JLEFFBJG,Y,Y,N,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-08-24 13:36:26,2020-08-24 15:37:24,LIQUSR03,FI717102,EUR,Y,N,N,,,,,"                                  ",,,FI717102,,,,,,,,100000,,N,
P=E6K597,3VEFFIVC,Y,Y,Y,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-08-24 16:52:04,2020-08-24 17:21:05,DJRHINPT,DJRHAPRV,USD,Y,Y,N,,,,,"                                  ",,,DJRHAPRV,,,,,,,,0,,N,
(KE4Q19S,3VEFFJBT,Y,Y,Y,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-08-24 17:03:46,2020-08-24 17:22:07,DJRHINPT,DJRHAPRV,USD,Y,Y,N,,,,,"                                  ",,,DJRHAPRV,,,,,,,,0,,N,
(IEFGRPX,(2EFGVHV,Y,Y,N,Y,Y,Y,Y,"RTGS1- TO CUSTOMER  ","RTGS ",Y,2020-08-25 10:09:17,2020-08-25 10:18:23,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,{BACKSPACE}Account Name: BE Pty Ltd as trustee for the Dances With Wolves Family Trust Account Number: 082674 50974821,0,,N,
(IEFGRPX,(2EFGVVC,Y,Y,Y,N,Y,Y,Y,RTGS2- FROM CUSTOMER,"RTGS ",Y,2020-08-25 10:10:50,2020-08-25 10:18:49,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,,0,,N,
Y?EFF2ED,@?EFH2AQ,Y,Y,N,Y,Y,Y,Y,"RTGSAUD1-5803       ","RTGS ",Y,2020-08-25 13:42:23,2020-08-25 13:43:20,INPAMT01,INPAMT01,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,{BACKSPACE}Account Name: MCC PRIVATE LTD,0,,,
Y?EFF2ED,@?EFH2O7,Y,Y,Y,N,Y,Y,Y,"RTGS-AUD2525        ","RTGS ",Y,2020-08-25 13:43:52,2020-08-25 13:44:34,INPAMT01,INPAMT01,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,,
@*EFH8X0,@*EFH8XK,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-25 15:03:53,2020-08-25 15:14:07,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
A$DPARLG,@+EFH8AE,Y,Y,Y,Y,Y,Y,Y,"IMT2                ","IMT  ",Y,2020-08-25 15:51:11,2020-10-15 12:31:08,LIQUSR03,RPTMGR01,EUR,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,0,,N,
CAEFH7KI,CAEFH8CC,Y,Y,N,Y,Y,Y,Y,"RTGS1-TO CUSTOMER   ","RTGS ",Y,2020-08-25 16:02:36,2020-08-25 18:08:49,INPROS01,MGRDEL01,AUD,Y,Y,N,,,,,"                                  ",,,MGRDEL01,,,,,,,,0,,N,
6WEADK2S,6WEADKOO,Y,Y,Y,Y,Y,Y,Y,"DDA1                ","DDA  ",Y,2020-05-18 11:48:54,2020-05-18 12:14:41,"JOBINP  ","EUGAPP  ",AUD,Y,N,N,"8592-928-92                       ",,,,"                                  ",,,"EUGAPP  ",,,,,,Henyr Corporation,,0,,N,
?ZE4CIA6,?.EBVNFZ,Y,Y,Y,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-06-16 16:38:07,2020-06-16 16:48:47,RPTINPAM,RPTMGRAM,EUR,Y,Y,N,,,,,"                                  ",,,RPTMGRAM,,,,,,,,0,,N,
5QEF3VVU,5QEF3VX2,Y,Y,Y,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-08-18 08:56:37,2020-08-18 11:01:28,LIQUSR05,LIQSVR04,EUR,Y,Y,N,,,,,"                                  ",,,LIQSVR04,,,,,,,,0,,N,
F5EEWSOR,*7EF4LEE,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-18 19:02:02,2020-08-18 19:20:05,"WBAYERS ",DHENDERS,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,Account Name: MNC Company Ltd,0,,N,
F5EEWSOR,*7EF4LUJ,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-18 19:03:51,2020-08-18 19:20:31,"WBAYERS ",DHENDERS,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,N,
F5EEWSOR,*7EF4MAO,Y,Y,N,Y,Y,Y,Y,"IMT1 - TO CUSTOMER  ","IMT  ",Y,2020-08-18 19:05:40,2020-08-18 19:20:57,"WBAYERS ",DHENDERS,USD,N,N,N,,,,,"                                  ",,,,,,,,,,Account Name: MNC Company Ltd,0,,N,
F5EEWSOR,*7EF4MQT,Y,Y,Y,N,Y,Y,Y,IMT2 - FROM CUSTOMER,"IMT  ",Y,2020-08-18 19:07:31,2020-08-18 19:21:23,"WBAYERS ",DHENDERS,USD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,N,
F5EEWSOR,*7EF4N6Y,Y,Y,N,Y,Y,Y,Y,"IMT3                ","IMT  ",Y,2020-08-18 19:09:20,2020-08-18 19:21:52,"WBAYERS ",DHENDERS,GBP,N,N,N,,,,,"                                  ",,,,,,,,,,Account Name: MNC Company Ltd,0,,N,
F5EEWSOR,*7EF4O80,Y,Y,Y,N,Y,Y,Y,"IMT4                ","IMT  ",Y,2020-08-18 19:12:16,2020-08-18 19:22:13,"WBAYERS ",DHENDERS,GBP,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,N,
EBEF9ADV,E:EF9BBE,Y,Y,Y,N,Y,Y,Y,RTGS2- FROM CUSTOMER,"RTGS ",Y,2020-08-21 08:01:29,2020-08-21 08:08:02,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,,0,,N,
CTEFHBUM,CTEFHBV6,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-25 16:05:38,2020-08-25 16:16:08,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
EBEF9ADV,E:EF9AXX,Y,Y,N,Y,Y,Y,Y,"RTGS1- TO CUSTOMER  ","RTGS ",Y,2020-08-21 08:00:05,2020-08-21 08:07:41,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,{BACKSPACE}Account Name: BE Pty Ltd as trustee for the Dances With Wolves Family Trust Account Number: 082674 50974821,0,,N,
YPEFEVVD,YEEFEXSB,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-24 09:23:09,2020-08-24 09:32:19,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
CTEFHBUM,CTEFHCBB,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-25 16:07:54,2020-08-25 16:16:36,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
1KEFIX0F,1)EFIXF0,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-26 12:57:59,2020-08-26 13:08:15,INPALN01,MGRALN01,AUD,Y,N,N,,,,,"                                  ",,,MGRALN01,,,,,,,Account Name: Anihant Trading Company,0,,N,
(KE4Q19S,1LEFJ3BY,Y,Y,Y,Y,Y,Y,Y,"DDA2                ","DDA  ",Y,2020-08-26 15:09:04,2020-08-26 15:12:47,DJRHINPT,DJRHAPRV,USD,Y,Y,N,"1000188515                        ",,,,"                                  ",,,DJRHAPRV,,,,,,CBA Account,,0,,N,
XOEFL7K0,I+EFMIRP,Y,Y,Y,N,Y,Y,Y,"RTGS-AUD2521        ","RTGS ",Y,2020-08-28 11:17:21,2020-08-28 11:24:46,INPAMT01,MGRAMT01,AUD,Y,N,N,,,,,"                                  ",,,MGRAMT01,,,,,,,,0,,N,
U!EG6TSS,U!EG6UUZ,Y,Y,N,Y,Y,Y,Y,"WBC032916100059     ","DDA  ",Y,2020-09-08 11:49:51,2020-09-08 11:56:05,"JCUSR01 ","JCAPR02 ",AUD,Y,N,N,"032916100059                      ",,,,"                                  ",,,"JCAPR02 ",,,,,,WESTPAC BANKING CORPORATION SYDNEY,,0,,N,
U!EG6TSS,U!EG6TTB,Y,Y,Y,N,Y,Y,Y,RTGS IB AGENCY/SUNDR,"RTGS ",Y,2020-09-08 11:43:43,2020-09-08 11:55:15,"JCUSR01 ","JCAPR02 ",AUD,Y,N,N,,,,,"                                  ",,,"JCAPR02 ",,,,,,,,0,,N,
U!EG6TSS,U.EG6VYI,Y,Y,Y,N,Y,Y,Y,"RTGS IB SUNDRY      ","RTGS ",Y,2020-09-08 12:03:19,2020-09-08 12:11:15,"JCUSR01 ","JCAPR02 ",AUD,Y,N,N,,,,,"                                  ",,,"JCAPR02 ",,,,,,,,0,,N,
CAEFH7KI,Y0EGCUB6,Y,Y,N,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-09-11 17:13:37,2020-09-11 17:14:28,INPROS01,INPROS01,USD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,,
E2E4RAUV,-#EGLXXE,Y,Y,Y,Y,Y,Y,Y,"IMT12 - HKD         ","IMT  ",Y,2020-09-16 14:53:59,2020-09-16 15:50:57,LIQUSR03,MANZANOS,HKD,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGLVFD,Y,Y,Y,Y,Y,Y,Y,"IMT8 - CNH          ","IMT  ",Y,2020-09-16 14:38:00,2020-09-16 15:50:04,LIQUSR03,MANZANOS,CNH,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGLYJH,Y,Y,Y,Y,Y,Y,Y,"IMT13 - IDR         ","IMT  ",Y,2020-09-16 14:56:11,2020-09-16 15:49:32,LIQUSR03,MANZANOS,IDR,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGLZ5K,Y,Y,Y,Y,Y,Y,Y,"IMT14 - JPY         ","IMT  ",Y,2020-09-16 14:59:05,2020-09-16 15:51:21,LIQUSR03,MANZANOS,JPY,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGLZRM,Y,Y,Y,Y,Y,Y,Y,"IMT15 - MXN         ","IMT  ",Y,2020-09-16 15:02:23,2020-09-16 15:52:01,LIQUSR03,MANZANOS,MXN,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGM0DP,Y,Y,Y,Y,Y,Y,Y,"IMT16 - NZD         ","IMT  ",Y,2020-09-16 15:05:15,2020-09-16 15:53:34,LIQUSR03,MANZANOS,NZD,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGM0ZS,Y,Y,Y,Y,Y,Y,Y,"IMT17 - SEK         ","IMT  ",Y,2020-09-16 15:09:53,2020-09-16 16:33:53,LIQUSR03,JAQUITAN,SEK,Y,Y,N,,,,,"                                  ",,,JAQUITAN,,,,,,,,0,,N,
E2E4RAUV,-#EGM1LV,Y,Y,Y,Y,Y,Y,Y,"IMT18 - SGD         ","IMT  ",Y,2020-09-16 15:14:03,2020-09-16 15:46:22,LIQUSR03,MANZANOS,SGD,Y,Y,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGM27Y,Y,Y,Y,Y,Y,Y,Y,"IMT19 - THB         ","IMT  ",Y,2020-09-16 15:17:51,2020-09-16 16:34:13,LIQUSR03,JAQUITAN,THB,Y,Y,N,,,,,"                                  ",,,JAQUITAN,,,,,,,,0,,N,
E2E4RAUV,-#EGM2U1,Y,Y,Y,Y,Y,Y,Y,"IMT20 - ZAR         ","IMT  ",Y,2020-09-16 15:19:27,2020-09-16 16:34:03,LIQUSR03,JAQUITAN,ZAR,Y,Y,N,,,,,"                                  ",,,JAQUITAN,,,,,,,,0,,N,
E2E4RAUV,-#EGM3HX,Y,Y,Y,Y,Y,Y,Y,"RTGS1               ","RTGS ",Y,2020-09-16 15:21:46,2020-09-16 15:45:35,LIQUSR03,MANZANOS,AUD,Y,N,N,,,,,"                                  ",,,MANZANOS,,,,,,,,0,,N,
E2E4RAUV,-#EGM4A3,Y,Y,Y,Y,Y,Y,Y,"DDA1                ","DDA  ",Y,2020-09-16 15:25:30,2020-09-16 15:46:41,LIQUSR03,MANZANOS,AUD,Y,Y,N,"MSA 20420542122707                ",,,,"                                  ",,,MANZANOS,,,,,,LOANIQ CASH SETTLEMENT GL,,0,,N,
SIEESUTN,-BEGLZ8K,Y,Y,Y,Y,Y,Y,Y,"IMT3                ","IMT  ",Y,2020-09-16 16:02:33,2020-09-16 16:23:10,CMARTILL,RPTMGR01,CAD,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,1000000,,N,
SIEESUTN,-BEGLZK4,Y,Y,Y,Y,Y,Y,Y,"IMT4                ","IMT  ",Y,2020-09-16 16:04:39,2020-09-16 16:23:33,CMARTILL,RPTMGR01,CHF,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,1000000,,N,
SIEESUTN,-BEGLZVO,Y,Y,Y,Y,Y,Y,Y,"IMT5                ","IMT  ",Y,2020-09-16 16:05:49,2020-09-16 16:24:52,CMARTILL,RPTMGR01,CNH,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,1000000,,N,
SIEESUTN,-BEGM0UC,Y,Y,Y,Y,Y,Y,Y,"IMT8                ","IMT  ",Y,2020-09-16 16:13:49,2020-09-16 16:25:18,CMARTILL,RPTMGR01,ZAR,Y,N,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,1000000,,N,
SIEESUTN,L*EGNKW6,Y,Y,Y,Y,Y,Y,Y,"IMT10               ","IMT  ",Y,2020-09-17 12:54:13,2020-09-17 13:00:53,CMARTILL,RPTSUP01,GBP,Y,Y,N,,,,,"                                  ",,,RPTSUP01,,,,,,,,1000000,,N,
HSE5440L,BYEDA6CQ,Y,Y,Y,Y,Y,Y,Y,"IMT2 - EUR          ","IMT  ",Y,2020-07-13 23:31:49,2020-07-13 23:31:49,"FJUSRAM ","FJUSRAM ",EUR,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,,
VWEDOEXK,GEEDOPSL,Y,Y,Y,Y,Y,Y,Y,"IMTUSD1-3422        ","IMT  ",Y,2020-07-21 18:49:17,2020-07-21 19:32:27,DJRHINPT,DJRHMNGR,USD,Y,Y,N,,,,,"                                  ",,,DJRHMNGR,,,,,,,,0,,N,
VWEDOEXK,GEEDOQ0P,Y,Y,Y,Y,Y,Y,Y,"RTGSAUD1-3422       ","RTGS ",Y,2020-07-21 18:50:20,2020-07-21 19:32:45,DJRHINPT,DJRHMNGR,AUD,Y,Y,N,,,,,"                                  ",,,DJRHMNGR,,,,,,,,0,,N,
VWEDOEXK,GEEDOQ91,Y,Y,Y,Y,Y,Y,Y,"DDAAUD2-3437        ","DDA  ",Y,2020-07-21 18:53:58,2020-07-21 19:37:05,DJRHINPT,DJRHMNGR,AUD,Y,Y,N,"1020188515                        ",,,,"                                  ",,,DJRHMNGR,,,,,,CBA Domestic Account,,0,,N,
VWEDOEXK,GEEDOQ9E,Y,Y,Y,Y,Y,Y,Y,"IMTUSD2-3438        ","IMT  ",Y,2020-07-21 18:54:45,2020-07-21 19:37:26,DJRHINPT,DJRHMNGR,USD,Y,Y,N,,,,,"                                  ",,,DJRHMNGR,,,,,,,,0,,N,
VWEDOEXK,GEEDOQHI,Y,Y,Y,Y,Y,Y,Y,"RTGSAUD2-3438       ","RTGS ",Y,2020-07-21 18:55:43,2020-07-21 19:38:09,DJRHINPT,DJRHMNGR,AUD,Y,Y,N,,,,,"                                  ",,,DJRHMNGR,,,,,,,,0,,N,
Y?EFF2ED,RWEFHL50,Y,Y,Y,N,Y,Y,Y,"RTGS-AUD2527        ","RTGS ",Y,2020-08-25 19:21:21,2020-08-25 19:22:02,INPAMT01,INPAMT01,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,,
Y?EFF2ED,RWEFHKRJ,Y,Y,N,Y,Y,Y,Y,"RTGSAUD1-5805       ","RTGS ",Y,2020-08-25 19:19:54,2020-08-25 19:20:50,INPAMT01,INPAMT01,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,{BACKSPACE}Account Name: MCC PRIVATE LTD,0,,,
Y?EFF2ED,HIEFIWH6,Y,Y,Y,N,Y,Y,Y,"RTGS-AUD2529        ","RTGS ",Y,2020-08-26 12:08:37,2020-08-26 12:09:18,INPAMT01,INPAMT01,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,,
