"CLO_CID_CUST_ID","CLO_CDE_PRFL_TYPE","CLO_CDE_LOCATION","CLO_RID_LOCATION","CLO_XID_TAXPAYER","CLO_CDE_TAX_EXEMP","CLO_DTE_FST_TRAN","CLO_DTE_LST_TRAN","CLO_IND_BRKFND_AGR","CLO_IND_WTCHFL_ACT","CLO_TSP_REC_CREATE","CLO_TSP_REC_UPDATE","CLO_UID_REC_CREATE","CLO_UID_REC_UPDATE","CLO_AMT_UNFN_RISK","CLO_CDE_UNFN_CCY","CLO_DTE_RISK_EXP","CLO_DTE_UNF_LST_AP","CLO_IND_UNFN_RISK","CLO_NUM_RISK_FREQ","CLO_RID_PROFILE","CLO_AMT_UNFN_USED","CLO_IND_COMPLETE","CLO_IND_QUAL_BUYER","CLO_CDE_LANGUAGE","CLO_IND_VAT_SUBJCT","CLO_TXT_VAT_NUMBER","CLO_TXT_LEND_RSSD","CLO_IND_AFFI_LEND","CLO_IND_FPML_ENB","CLO_CDE_BRANCH"
"ALEF5OUC","BORR ","SYD  ","ALEF5OUM","","","","","","","2020-08-19 09:32:41","2020-08-19 09:32:41","RONINP01","RONINP01","","","","","","","ALEF5OUJ","","N","","ENG  ","Y","Y              ","","","",""
"E8EF8FP7","BORR ","SYD  ","EJEF8G2B","","","","","","","2020-08-20 21:19:19","2020-08-20 21:21:20","INPRON01","INPRON01","","","","","","","EJEF8G28","","Y","","","N","14162984821    ","","","",""
")OEF88WW","BORR ","SYD  ",")OEF88X9","","","","","","","2020-08-20 18:31:18","2020-08-20 18:33:26","MGRALN01","MGRALN01","","","","","","",")OEF88X6","","Y","","","N","71133830       ","","","",""
"EBEF9ADV","BORR ","SYD  ","E:EF9AXP","","","","","","","2020-08-21 07:58:04","2020-08-21 07:59:47","INPRON01","INPRON01","","","","","","","E:EF9AXM","","Y","","","N","14162984821    ","","","",""
"(VEHFY93","BORR ","MEL  ","(GEHFYLT","","","2021-01-18 00:00:00","2021-01-18 00:00:00","","","2020-10-02 20:12:01","2020-10-02 20:14:14","MIGGY_IN","MIGGY_IN","","","","","","","(GEHFYLQ","","Y","","","N","               ","","","",""
"(IEFGRPX","BORR ","SYD  ","(2EFGVHN","","","2020-09-11 00:00:00","2020-09-11 00:00:00","","","2020-08-25 10:06:30","2020-08-25 10:08:47","INPRON01","INPRON01","","","","","","","(2EFGVHK","","Y","","","N","14162984821    ","","","",""
"1MEFJ04Y","BORR ","SYD  ","1$EFJ0IT","","","","","","","2020-08-26 14:07:43","2020-08-26 14:09:39","INPALN01","INPALN01","","","","","","","1$EFJ0IQ","","Y","","","N","543333222      ","","","",""
"Y?EFF2ED","BORR ","SYD  ","1DEFIYA9","","","2020-10-14 00:00:00","2020-10-14 00:00:00","","","2020-08-26 14:15:05","2020-08-26 14:17:00","INPAMT01","INPAMT01","","","","","","","1DEFIYA6","","Y","","","N","02568049389    ","","","",""
"4ZEIQ1E8","BORR ","MEL  ","49EIQ1QV","","","2021-09-14 00:00:00","2021-09-14 00:00:00","","","2020-10-27 17:40:45","2020-10-27 17:43:55","TESTINP ","TESTINP ","","","","","","","49EIQ1QS","","Y","","","N","               ","","","",""
"1.EIEUFN","BORR ","MEL  ","1TEIEUSB","","","2021-05-04 00:00:00","2021-05-04 00:00:00","","","2020-10-21 15:30:05","2020-10-21 15:32:11","INPAMT01","INPAMT01","","","","","","","1TEIEUS8","","Y","","","N","               ","","","",""
"4;EIQ81F","BORR ","MEL  ","46EIQ8E0","","","","","","","2020-10-27 18:57:03","2020-10-27 18:59:36","INPALN01","INPALN01","","","","","","","46EIQ8DX","","Y","","","N","               ","","","",""
"4REIQ4W5","BORR ","MEL  ","4MEIQ58S","","","","","","","2020-10-27 19:01:37","2020-10-27 19:04:24","INPAMT01","INPAMT01","","","","","","","4MEIQ58P","","Y","","","N","               ","","","",""
"F9EIR9NM","BORR ","MEL  ","F)EIRA08","","","","","","","2020-10-28 08:25:56","2020-10-28 08:28:18","INPALN01","INPALN01","","","","","","","F)EIRA05","","Y","","","N","               ","","","",""
"OQEIT5A0","BORR ","MEL  ","O5EIT5MN","","","","","","","2020-10-29 08:53:19","2020-10-29 08:55:48","INPALN01","INPALN01","","","","","","","O5EIT5MK","","Y","","","N","               ","","","",""
"JMEITF16","BORR ","MEL  ","JWEITFDV","","","2021-09-13 00:00:00","2021-09-13 00:00:00","","","2020-10-29 12:04:55","2020-10-29 12:07:03","INPAMT01","INPAMT01","","","","","","","JWEITFDS","","Y","","","N","               ","","","",""
"CXEIU5IL","BORR ","MEL  ",";FEIU5VA","","","2021-09-15 00:00:00","2021-10-15 00:00:00","","","2020-10-29 21:57:42","2020-10-29 21:59:53","INPAMT01","INPAMT01","","","","","","",";FEIU5V7","","Y","","","N","               ","","","",""
"RYEIUH32","BORR ","MEL  ","RJEIUHFS","","","","","","","2020-10-30 02:02:18","2020-10-30 02:03:45","INPRON01","INPRON01","","","","","","","RJEIUHFP","","Y","","","N","               ","","","",""
"M2EIVJHN","BORR ","MEL  ","M-EIVJUD","","","","","","","2020-10-30 15:45:27","2020-10-30 15:47:27","INPAMT01","INPAMT01","","","","","","","M-EIVJUA","","Y","","","N","               ","","","",""
"WAEIVMLA","BORR ","MEL  ","W!EIVMY0","","","","","","","2020-10-30 17:07:26","2020-10-30 17:10:02","INPAMT01","INPAMT01","","","","","","","W!EIVMXX","","Y","","","N","               ","","","",""
"1-EJ2YO0","BORR ","MEL  ","1#EJ2Z0N","","","2021-10-15 00:00:00","2021-10-15 00:00:00","","","2020-11-03 16:57:22","2020-11-03 16:59:43","INPAMT01","INPAMT01","","","","","","","1#EJ2Z0K","","Y","","","N","               ","","","",""
"D6EJ4OKJ","BORR ","MEL  ","DMEJ4OX7","","","2021-10-15 00:00:00","2021-10-15 00:00:00","","","2020-11-04 14:22:41","2020-11-04 14:24:55","INPAMT01","INPAMT01","","","","","","","DMEJ4OX4","","Y","","","N","               ","","","",""
"HFEJ70OB","BORR ","MEL  ","7IEJ7158","","","","","","","2020-11-05 21:55:49","2020-11-05 21:55:49","DANUSR01","DANUSR01","","","","","","","7IEJ7153","","N","","","N","N              ","","","",""
"HFEJ6RWQ","BORR ","MEL  ","N.EJ823B","","","","","","","2020-11-06 10:06:03","2020-11-06 10:08:17","INPRON01","INPRON01","","","","","","","N.EJ8238","","Y","","","N","67895843245    ","","","",""
"HFEJ8RUQ","BORR ","SYD  ","BPEJ9N5Y","","","","","","","2020-11-07 06:14:25","2020-11-07 06:15:55","DANUSR01","DANUSR01","","","","","","","BPEJ9MP2","","Y","","","N","10075843210    ","","","",""
"HFEJ8RUQ","BORR ","MEL  ","BPEJ9MP5","","","2021-10-25 00:00:00","2021-12-08 00:00:00","","","2020-11-07 06:10:01","2020-11-07 06:11:28","DANUSR01","DANUSR01","","","","","","","BPEJ9MP2","","Y","","","N","10075843210    ","","","",""
"HFEJ8UE1","BORR ","MEL  ","#FEJ8ZBE","","","","","","","2020-11-06 22:58:59","2020-11-06 23:00:35","INPAMT02","INPAMT02","","","","","","","#FEJ8ZBB","","Y","","","N","67895843245    ","","","",""
"HFEJDN2Y","BORR ","MEL  ",":(EJDZVQ","","","2021-10-19 00:00:00","2021-10-25 00:00:00","","","2020-11-09 16:15:01","2020-11-09 16:16:36","INPRON02","INPRON02","","","","","","",":(EJDZVN","","Y","","","N","67895843245    ","","","",""
"HFEJ4FCF","INVR ","L    ","GTEJFM28","","","2021-10-18 00:00:00","2021-10-18 00:00:00","N","N","2020-11-10 09:15:37","2020-11-10 09:40:07","FOULISTR","FOULISTR","0","","","","N","0","GTEJFM24","0","Y","Y","","N","12345678901    ","","Y","N",""
"J6EI07VT","BORR ","L    ","ZUEJHS0M","","","2021-10-27 00:00:00","2021-10-27 00:00:00","","N","2020-11-11 14:02:21","2020-11-11 14:09:04","FOULISTR","FOULISTR","","","","","","","ZUEJHS0J","","Y","","","N","               ","","","",""
"2WEJV8B4","INVR ","SYD  ","2WEJV8K2","230596079                ","","2021-11-04 00:00:00","2021-12-09 00:00:00","N","N","2020-11-18 23:43:29","2020-11-19 00:23:25","DANUSR01","DANUSR01","0","","","","N","0","2WEJV8GK","0","Y","Y","","Y","               ","","Y","N",""
"HSE5440L","BORR ","AM   ","BYEDA62Y","","","","","","","2020-07-13 23:24:45","2020-07-13 23:29:55","FJUSRAM ","FJUSRAM ","","","","","","","BYEDA60V","","Y","","","N","               ","","","",""
"U!EG6TSS","INVR ","SYD  ","U!EG6TT3","","","2020-10-14 00:00:00","2021-10-11 00:00:00","N","N","2020-09-08 11:41:01","2020-09-08 12:39:50","JCUSR01 ","JCUSR01 ","0","","","","N","0","U!EG6TSZ","0","Y","Y","","Y","00000000000    ","","Y","N",""
"BYEDA7MO","BORR ","AM   ","BYEDA95M","","","","","","N","2020-07-14 00:31:08","2020-07-14 00:31:08","FJUSRAM ","FJUSRAM ","","","","","","","BYEDA8PB","","N","","","N","N              ","","","",""
"FCEG76R8","BORR ","SYD  ","FREG77N3","","","2020-10-14 00:00:00","2020-10-14 00:00:00","","","2020-09-08 15:29:22","2020-09-08 15:31:08","INPAMT01","INPAMT01","","","","","","","FREG77N0","","Y","","","N","02568049389    ","","","",""
"*=EHA9UO","BORR ","MEL  ","*DEHAA7B","","","","","","","2020-09-29 17:51:57","2020-09-29 17:53:58","MIGGY_IN","MIGGY_IN","","","","","","","*DEHAA78","","Y","","","N","               ","","","",""
"A*EHAMQD","BORR ","MEL  ","!AEHAN30","","","","","","","2020-09-29 23:42:28","2020-09-29 23:44:34","INPELY01","INPELY01","","","","","","","!AEHAN2X","","Y","","","N","               ","","","",""
"P!EHBPV8","BORR ","MEL  ","PPEHBQ7W","","","","","","","2020-09-30 12:28:05","2020-09-30 12:30:06","MIGGY_IN","MIGGY_IN","","","","","","","PPEHBQ7T","","Y","","","N","               ","","","",""
"4$EHBYTS","BORR ","MEL  ","4?EHBZ6G","","","2021-01-11 00:00:00","2021-01-25 00:00:00","","","2020-09-30 15:53:48","2020-09-30 15:55:46","MIGGY_IN","MIGGY_IN","","","","","","","4?EHBZ6D","","Y","","","N","               ","","","",""
"$$EHNARP","BORR ","AM   ","ACEHQQK1","","","2021-03-01 00:00:00","2021-10-15 00:00:00","","","2020-10-08 15:19:34","2020-10-08 15:22:01","CESSINP1","CESSINP1","","","","","","","ACEHQQJY","","Y","","","N","9456677889     ","","","",""
"UWEHCNU5","BORR ","NDL  ","BNEHOJL1","","","","","","","2020-10-07 11:25:16","2020-10-07 11:27:06","ARFELI01","ARFELI01","","","","","","","BNEHOJKY","","Y","","","Y","               ","","","",""
":OEHOO1J","BORR ","MEL  ",":JEHOOE7","","","","","","","2020-10-07 12:45:00","2020-10-07 12:46:55","MIGGY_IN","MIGGY_IN","","","","","","",":JEHOOE4","","Y","","","N","               ","","","",""
"UWEHCNUO","BORR ","NDL  ","+PEHQGM7","","","","","","","2020-10-08 11:58:51","2020-10-08 12:00:18","ARFELI01","ARFELI01","","","","","","","+PEHQGM4","","Y","","","Y","10075843210    ","","","",""
"I:EI26KV","BORR ","MEL  ","ILEI26TP","","","","","","","2020-10-14 20:11:40","2020-10-14 20:13:08","DANUSR01","DANUSR01","","","","","","","ILEI26TM","","Y","","","N","               ","","","",""
"$9EI1KOO","BORR ","MEL  ","$.EI1KXI","","","2021-03-10 00:00:00","2021-03-24 00:00:00","","","2020-10-14 11:57:20","2020-10-14 11:58:56","DANUSR01","DANUSR01","","","","","","","$.EI1KXF","","Y","","","N","               ","","","",""
"0JEI4L1H","BORR ","MEL  ","03EI4LDV","","","","","","","2020-10-16 03:26:42","2020-10-16 03:29:33","KIDUENAS","KIDUENAS","","","","","","","03EI4LDS","","Y","","","N","               ","","","",""
"I?EI27OR","BORR ","MEL  ","-OEI2ICV","","","","","","","2020-10-14 23:49:28","2020-10-14 23:51:42","KIDUENAS","KIDUENAS","","","","","","","-OEI2ICS","","Y","","","N","               ","","","",""
"-8EI2IHA","BORR ","MEL  ","-YEI2ITY","","","","","","","2020-10-14 23:50:19","2020-10-14 23:52:19","MIGGY_IN","MIGGY_IN","","","","","","","-YEI2ITV","","Y","","","N","               ","","","",""
"0REI4N8E","BORR ","MEL  ","0MEI4NKS","","","","","","","2020-10-16 04:32:57","2020-10-16 04:35:49","KIDUENAS","KIDUENAS","","","","","","","0MEI4NKP","","Y","","","N","               ","","","",""
"RVEGMHIE","BORR ","NDL  ","*AEI52F4","","","","","","","2020-10-16 08:59:22","2020-10-16 09:01:35","ARFELI01","ARFELI01","","","","","","","*AEI52F1","","Y","","","Y","               ","","","",""
"J+EICOY5","BORR ","MEL  ","3FEICQLQ","","","","","","","2020-10-20 12:06:20","2020-10-20 12:08:12","DANUSR01","DANUSR01","","","","","","","3FEICQLN","","Y","","","N","               ","","","",""
"C4EIDBGK","BORR ","MEL  ","CUEIDBT7","","","2021-04-28 00:00:00","2021-04-28 00:00:00","","","2020-10-20 19:42:30","2020-10-20 19:44:28","MIGGY_IN","MIGGY_IN","","","","","","","CUEIDBT4","","Y","","","N","               ","","","",""
"+2EIPLQY","BORR ","MEL  ","+-EIPM3L","","","2021-06-07 00:00:00","2021-06-07 00:00:00","","","2020-10-27 11:24:04","2020-10-27 11:26:13","INPAMT01","INPAMT01","","","","","","","+-EIPM3I","","Y","","","N","               ","","","",""
")HEIRQW9","BORR ","MEL  ",")1EIRR8X","","","","","","","2020-10-28 15:54:26","2020-10-28 15:55:52","INPRON01","INPRON01","","","","","","",")1EIRR8U","","Y","","","N","               ","","","",""
"YAEIT9TU","BORR ","MEL  ","YPEITA6J","","","","","","","2020-10-29 10:29:13","2020-10-29 10:31:16","INPAMT01","INPAMT01","","","","","","","YPEITA6G","","Y","","","N","               ","","","",""
"YJEITCGS","BORR ","MEL  ","Y(EITCTH","","","","","","","2020-10-29 11:16:41","2020-10-29 11:18:45","INPAMT01","INPAMT01","","","","","","","Y(EITCTE","","Y","","","N","               ","","","",""
"HFEJ6T46","BORR ","MEL  ","7CEJ6XAI","","","2021-10-19 00:00:00","2021-10-29 00:00:00","","","2020-11-05 20:34:24","2020-11-05 20:48:33","INPAMT01","INPAMT01","","","","","","","7CEJ6XAD","","Y","","","N","67895843245    ","","","",""
"2!EJV2PU","INVR ","SYD  ","2!EJV2Q5","323495035                ","","2021-11-04 00:00:00","2021-12-09 00:00:00","N","N","2020-11-18 21:05:04","2020-11-18 23:35:51","DANUSR01","DANUSR01","0","","","","N","0","2!EJV2Q1","0","Y","Y","","Y","               ","","Y","N",""
"#NED9EQ2","BORR ","MEL  ","#XED9F2O","","","2020-05-27 00:00:00","2020-05-27 00:00:00","","","2020-07-13 13:24:36","2020-07-13 13:26:34","JOBINP  ","JOBINP  ","","","","","","","#XED9F2L","","Y","","","N","               ","","","",""
"I-EDB3F1","BORR ","AM   ","BCEDB680","","","2020-05-27 00:00:00","2020-05-27 00:00:00","","N","2020-07-14 11:32:04","2020-07-14 12:35:11","DANUSR01","DANUSR01","","","","","","","BCEDB67X","","Y","","NL   ","N","10567788990    ","","","",""
":KEDDAP0","BORR ","MEL  ",":UEDDB1O","","","2020-05-27 00:00:00","2020-07-03 00:00:00","","","2020-07-15 15:56:45","2020-07-15 15:58:27","JOBINP  ","JOBINP  ","","","","","","",":UEDDB1L","","Y","","","N","               ","","","",""
"SIEESUTN","BORR ","AM   ","SIEESUU8","","","2020-05-27 00:00:00","2021-03-08 00:00:00","","N","2020-08-12 10:54:20","2020-08-12 11:29:04","CMARTILL","CMARTILL","","","","","","","SIEESUU3","","Y","","","N","               ","","","",""
"XOEFL7K0","BORR ","SYD  ","I+EFMIE0","","","","","","","2020-08-28 11:13:31","2020-08-28 11:14:56","INPAMT01","INPAMT01","","","","","","","I+EFMIDX","","Y","","","N","02568049389    ","","","",""
"#ZEFTUU3","BORR ","SYD  ","#ZEFTUUL","123456789                ","","","","","","2020-09-01 10:45:43","2020-09-01 13:03:57","INPROS01","INPROS01","","","","","","","#ZEFTUUH","","Y","","EN   ","Y","02568049389    ","","","",""
"5$EH88NS","BORR ","MEL  ","5NEH890E","","","","","","","2020-09-28 16:42:23","2020-09-28 16:44:30","INPELY01","INPELY01","","","","","","","5NEH890B","","Y","","","N","               ","","","",""
"*4EHA4KI","BORR ","MEL  ","*UEHA4X5","","","","","","","2020-09-29 15:58:41","2020-09-29 16:00:41","INPELY01","INPELY01","","","","","","","*UEHA4X2","","Y","","","N","               ","","","",""
"Y7EHFA63","BORR ","MEL  ","YXEHFAIT","","","2021-01-15 00:00:00","2021-01-15 00:00:00","","","2020-10-02 11:15:36","2020-10-02 11:17:45","MIGGY_IN","MIGGY_IN","","","","","","","YXEHFAIQ","","Y","","","N","               ","","","",""
"=4EI135W","BORR ","MEL  ","=UEI13EQ","","","","","","","2020-10-14 06:16:41","2020-10-14 06:18:30","DANUSR01","DANUSR01","","","","","","","=UEI13EN","","Y","","","N","               ","","","",""
"=HEIAPW5","BORR ","NDL  ",")WEIASPW","","","2021-03-08 00:00:00","2021-03-08 00:00:00","","","2020-10-19 12:05:25","2020-10-19 12:07:42","ARFELI01","ARFELI01","","","","","","",")WEIASPT","","Y","","","Y","10075843210    ","","","",""
"A-EI5D8F","BORR ","MEL  ","!4EI5S0A","","","2021-04-28 00:00:00","2021-04-28 00:00:00","","","2020-10-16 18:13:42","2020-10-16 18:15:51","KIDUENAS","KIDUENAS","","","","","","","!4EI5S07","","Y","","","N","               ","","","",""
"RIEIV8RR","BORR ","AIC  ","RIEIV8SB","123456789                ","","","","","","2020-10-30 12:04:58","2020-10-30 12:04:58","DANUSR01","DANUSR01","","","","","","","RIEIV8S6","","N","","","N","N              ","","","",""
"RIEIV8RR","BORR ","ABB  ","RIEIV8SG","123456789                ","","","","","","2020-10-30 12:05:57","2020-10-30 12:05:57","DANUSR01","DANUSR01","","","","","","","RIEIV8S6","","N","","","Y","Y              ","","","",""
"R:EIVB7O","BORR ","MEL  ","RQEIVBKE","","","","","","","2020-10-30 12:53:03","2020-10-30 12:54:32","INPRON01","INPRON01","","","","","","","RQEIVBKB","","Y","","","N","               ","","","",""
