"FRG_RID_FAX_GROUP","FRG_CID_CUST_ID","FRG_RID_LOCATION","FRG_TSP_REC_CREATE","FRG_TSP_REC_UPDATE","FRG_UID_REC_CREATE","FRG_UID_REC_UPDATE","FRG_NME_ALIAS","FRG_IND_ACTIVE","FRG_CDE_BRANCH","FRG_CDE_LOCATION","FRG_IND_STANDARD","FRG_NME_FAX_GROUP"
"*;EF4JLH","V+EF49HF","V+EF49O8","2020-08-18 18:27:37","2020-08-18 18:27:37","ALNMGR01","ALNMGR01","VJ                            ","Y","","SYD  ","N","JONES"
"*7EF4OY5","F5EEWSOR","*7EF4LE6","2020-08-18 19:13:50","2020-08-18 19:13:50","WBAYERS ","WBAYERS ","GB                            ","Y","","SYD  ","N","BEAR"
")0EF8ARV",")?EF8978",")?EF897P","2020-08-20 19:26:17","2020-08-20 19:26:17","SMANZANO","SMANZANO","JD                            ","Y","","AM   ","N","DOE"
"E:EF9BOV","EBEF9ADV","E:EF9AXP","2020-08-21 08:02:35","2020-08-21 08:02:35","INPRON01","INPRON01","BE                            ","Y","","SYD  ","N","ELLIOT"
"1$EFJ1FB","1MEFJ04Y","1$EFJ0IT","2020-08-26 14:14:50","2020-08-26 14:14:50","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"$#EFJAMC","$#EFJ9I3","$#EFJ9L0","2020-08-26 18:30:32","2020-08-26 18:30:32","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"XZEFL5AB","N?EFL3EX","XZEFL4J5","2020-08-27 18:25:59","2020-08-27 18:25:59","INPAMT01","INPAMT01","RH                            ","Y","","SYD  ","N","HOOD"
"#ZEFTYY9","#ZEFTUU3","#ZEFTUUL","2020-09-01 13:04:11","2020-09-01 13:04:11","INPROS01","INPROS01","JW                            ","Y","","SYD  ","N","WICK"
"2ZEI287T","I:EI26KV","ILEI26TP","2020-10-14 20:23:44","2020-10-14 20:23:44","DANUSR01","DANUSR01","JB                            ","Y","","MEL  ","N","BLOGGS"
"-;EI2JUT","I?EI27OR","-OEI2ICV","2020-10-15 00:07:48","2020-10-15 00:07:48","KIDUENAS","KIDUENAS","JB                            ","Y","","MEL  ","N","BLOGGS"
"-REI2KCK","-8EI2IHA","-YEI2ITY","2020-10-15 00:07:51","2020-10-15 00:07:51","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"01EI4P2W","0REI4N8E","0MEI4NKS","2020-10-16 04:52:52","2020-10-16 04:52:52","KIDUENAS","KIDUENAS","JB                            ","Y","","MEL  ","N","BLOGGS"
"*4EI53OX","RVEGMHIE","*AEI52F4","2020-10-16 09:12:37","2020-10-16 09:12:37","ARFELI01","ARFELI01","MC                            ","Y","","NDL  ","N","CAMPOMANES"
"3.EICRZR","J+EICOY5","3FEICQLQ","2020-10-20 12:22:15","2020-10-20 12:22:15","DANUSR01","DANUSR01","JB                            ","Y","","MEL  ","N","BLOGGS"
"13EIEWAX","1.EIEUFN","1TEIEUSB","2020-10-21 15:45:40","2020-10-21 15:45:40","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"4JEIQ322","4ZEIQ1E8","49EIQ1QV","2020-10-27 18:01:59","2020-10-27 18:01:59","TESTINP ","TESTINP ","JB                            ","Y","","MEL  ","N","BLOGGS"
"4$EIQ9WJ","4;EIQ81F","46EIQ8E0","2020-10-27 19:17:55","2020-10-27 19:17:55","INPALN01","INPALN01","JB                            ","Y","","MEL  ","N","BLOGGS"
"4?EIQ6RB","4REIQ4W5","4MEIQ58S","2020-10-27 19:30:24","2020-10-27 19:30:24","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"FTEIRBIU","F9EIR9NM","F)EIRA08","2020-10-28 08:43:48","2020-10-28 08:43:48","INPALN01","INPALN01","JB                            ","Y","","MEL  ","N","BLOGGS"
"OGEIT75C","OQEIT5A0","O5EIT5MN","2020-10-29 09:13:05","2020-10-29 09:13:05","INPALN01","INPALN01","JB                            ","Y","","MEL  ","N","BLOGGS"
"Y)EITBP8","YAEIT9TU","YPEITA6J","2020-10-29 10:44:19","2020-10-29 10:44:19","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"JNEITGWK","JMEITF16","JWEITFDV","2020-10-29 12:20:44","2020-10-29 12:20:44","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"M5EIVLD1","M2EIVJHN","M-EIVJUD","2020-10-30 16:00:29","2020-10-30 16:00:29","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"WKEIVOGS","WAEIVMLA","W!EIVMY0","2020-10-30 17:31:13","2020-10-30 17:31:13","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"15EJ30J6","1-EJ2YO0","1#EJ2Z0N","2020-11-03 17:20:02","2020-11-03 17:20:02","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"71EJ6ZCP","HFEJ6T46","7CEJ6XAI","2020-11-05 21:06:08","2020-11-05 21:06:08","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"NOEJ83M3","HFEJ6RWQ","N.EJ823B","2020-11-06 10:22:09","2020-11-06 10:22:09","INPRON01","INPRON01","JB                            ","Y","","MEL  ","N","BLOGGS"
"#.EJ90U6","HFEJ8UE1","#FEJ8ZBE","2020-11-06 23:11:40","2020-11-06 23:11:40","INPAMT02","INPAMT02","JB                            ","Y","","MEL  ","N","BLOGGS"
"GTEJFNS2","HFEJ4FCF","GTEJFM28","2020-11-10 09:39:44","2020-11-10 09:39:44","FOULISTR","FOULISTR","CL                            ","Y","CB141","L    ","N","LONDON"
"BUEJ9OL2","HFEJ8RUQ","BPEJ9MP5","2020-11-07 06:31:20","2020-11-07 06:31:20","DANUSR01","DANUSR01","JB                            ","Y","","MEL  ","N","BLOGGS"
"BUEJ9OLA","HFEJ8RUQ","BPEJ9N5Y","2020-11-07 06:32:06","2020-11-07 06:32:06","DANUSR01","DANUSR01","JB                            ","Y","","SYD  ","N","BAKER"
"2WEJV868","2!EJV2PU","2!EJV2Q5","2020-11-18 23:32:52","2020-11-18 23:32:52","DANUSR01","DANUSR01","LSS                           ","Y","","SYD  ","N","SHORT"
"U)E9BKCG","A$DPARLG","A$DPARLR","2020-04-27 22:55:08","2020-04-27 22:55:08","INPMANS ","INPMANS ","OL                            ","Y","CB022","SYD  ","N","LENDING"
"GOEDORRG","VWEDOEXK","GEEDOPS0","2020-07-21 19:47:45","2020-07-21 19:47:45","DJRHINPT","DJRHINPT","JB                            ","Y","","MEL  ","N","BLOGGS"
"GOEDORRO","VWEDOEXK","GEEDOQ8T","2020-07-21 19:50:10","2020-07-21 19:50:10","DJRHINPT","DJRHINPT","JB                            ","Y","","SYD  ","N","BAKER"
"=UEFJ5TZ","=UEFJ4X5","=UEFJ4XH","2020-08-26 15:40:07","2020-08-26 15:40:07","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"U.EG6VXH","U!EG6TSS","U!EG6TT3","2020-09-08 11:58:22","2020-09-08 11:58:34","JCUSR01 ","JCUSR01 ","LOANS ADMIN                   ","Y","","SYD  ","N","BLACK"
"!4EHAOLJ","A*EHAMQD","!AEHAN30","2020-09-30 00:01:38","2020-09-30 00:01:38","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"4XEHC0P2","4$EHBYTS","4?EHBZ6G","2020-09-30 16:14:12","2020-09-30 16:14:12","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"HPEHLADE","W-EHL8IC","W:EHL8UY","2020-10-05 16:44:12","2020-10-05 16:44:12","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"XAEHN6SG","N=EHN4XA","NSEHN59X","2020-10-06 18:08:13","2020-10-06 18:08:13","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"BEEHOIJP",";(EHLBAR","N1EHN7FP","2020-10-07 10:15:55","2020-10-07 10:15:55","ARFELI01","ARFELI01","DH                            ","Y","","NDL  ","N","HIJARA"
":?EHOPWT",":OEHOO1J",":JEHOOE7","2020-10-07 13:02:29","2020-10-07 13:02:29","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"+TEHQI4W","UWEHCNUO","+PEHQGM7","2020-10-08 12:11:30","2020-10-08 12:11:30","ARFELI01","ARFELI01","MC                            ","Y","","NDL  ","N","CAMPOMANES"
"ADEHQP2A","$$EHP6SW","A@EHQNGC","2020-10-08 15:38:33","2020-10-08 15:38:33","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"Z(EHSMZT","$$EHSIFX","Z8EHSLA0","2020-10-09 16:46:59","2020-10-09 16:46:59","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"$REI1MBM","$9EI1KOO","$.EI1KXI","2020-10-14 12:11:54","2020-10-14 12:11:54","DANUSR01","DANUSR01","JB                            ","Y","","MEL  ","N","BLOGGS"
"C.EIDDBQ","C4EIDBGK","CUEIDBT7","2020-10-20 19:59:41","2020-10-20 19:59:41","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"M7EIEL5Y","MWEIEJAO","M1EIEJNC","2020-10-21 11:45:27","2020-10-21 11:45:27","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"+0EIPNM4","+2EIPLQY","+-EIPM3L","2020-10-27 11:47:33","2020-10-27 11:47:33","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
")SEIRSRJ",")HEIRQW9",")1EIRR8X","2020-10-28 16:04:12","2020-10-28 16:04:12","INPRON01","INPRON01","JB                            ","Y","","MEL  ","N","BLOGGS"
"YREITEC6","YJEITCGS","Y(EITCTH","2020-10-29 11:31:58","2020-10-29 11:31:58","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"D-EJ4QFT","D6EJ4OKJ","DMEJ4OX7","2020-11-04 14:43:19","2020-11-04 14:43:19","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"ZUEJHS9H","J6EI07VT","ZUEJHS0M","2020-11-11 14:08:37","2020-11-11 14:08:37","FOULISTR","FOULISTR","CP                            ","Y","","L    ","N","PVT"
"M@EJQTDL","M.EJQR6A","M8EJQRV5","2020-11-16 12:47:01","2020-11-16 12:47:01","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"#-ED9GKG","#NED9EQ2","#XED9F2O","2020-07-13 13:46:38","2020-07-13 13:46:38","JOBINP  ","JOBINP  ","JB                            ","Y","","MEL  ","N","BLOGGS"
"S#EESVPO","SIEESUTN","SIEESUU8","2020-08-12 11:27:14","2020-08-12 11:27:14","CMARTILL","CMARTILL","CM                            ","Y","","AM   ","N","MARTILLANO"
"BVEDBGGQ","I-EDB3F1","BCEDB680","2020-07-14 14:56:05","2020-07-14 14:56:05","DANUSR01","DANUSR01","JJ                            ","Y","","AM   ","N","JONES"
":9EDDCJM",":KEDDAP0",":UEDDB1O","2020-07-15 16:14:43","2020-07-15 16:14:43","JOBINP  ","JOBINP  ","JB                            ","Y","","MEL  ","N","BLOGGS"
"9ZEF82FE","ZHEF7YY1","ZHEF7YYE","2020-08-20 16:25:51","2020-08-20 16:25:51","JAQUITAN","JAQUITAN","JD                            ","Y","","AM   ","N","DOE"
"5PEF2OMI","A4E8XOGV","A4E8XOH9","2020-08-17 19:27:42","2020-08-17 19:27:42","CFRANCIS","CFRANCIS","JB                            ","Y","","MEL  ","N","BLOGGS"
"ZKEF7QS5","F5EEWBR0","B.EF0BAW","2020-08-20 12:13:27","2020-08-20 12:13:27","JCUSR01 ","JCUSR01 ","GB                            ","Y","","SYD  ","N","BEAR"
"@*EFH9TU","@*EFH8X0","@*EFH8XC","2020-08-25 15:07:58","2020-08-25 15:07:58","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"@MEFH8AY","@MEFH6VL","@MEFH7CH","2020-08-25 16:00:05","2020-08-25 16:00:05","INPDEL01","INPDEL01","RH                            ","Y","","SYD  ","N","HOOD"
"1)EFIYBA","1KEFIX0F","1)EFIXES","2020-08-26 13:02:07","2020-08-26 13:02:07","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"LUEH8F4B","5VEH8D99","50EH8DLV","2020-09-28 17:19:33","2020-09-28 17:19:33","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"*XEHABPU","*=EHA9UO","*DEHAA7B","2020-09-29 18:09:45","2020-09-29 18:09:45","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"Y:EHFC1L","Y7EHFA63","YXEHFAIT","2020-10-02 11:39:28","2020-10-02 11:39:28","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"=9EI14SU","=4EI135W","=UEI13EQ","2020-10-14 06:33:10","2020-10-14 06:33:10","DANUSR01","DANUSR01","JB                            ","Y","","MEL  ","N","BLOGGS"
"!FEI5TIE","A-EI5D8F","!4EI5S0A","2020-10-16 18:32:53","2020-10-16 18:32:53","KIDUENAS","KIDUENAS","JB                            ","Y","","MEL  ","N","BLOGGS"
")=EIATZD","=HEIAPW5",")WEIASPW","2020-10-19 12:17:39","2020-10-19 12:17:39","ARFELI01","ARFELI01","MC                            ","Y","","NDL  ","N","CAMPOMANES"
";8EIU7DZ","CXEIU5IL",";FEIU5VA","2020-10-29 22:15:24","2020-10-29 22:15:24","INPAMT01","INPAMT01","JB                            ","Y","","MEL  ","N","BLOGGS"
"R@EIUIYK","RYEIUH32","RJEIUHFS","2020-10-30 02:12:18","2020-10-30 02:12:18","INPRON01","INPRON01","JB                            ","Y","","MEL  ","N","BLOGGS"
"6AEIVD36","R:EIVB7O","RQEIVBKE","2020-10-30 13:02:54","2020-10-30 13:02:54","INPRON01","INPRON01","JB                            ","Y","","MEL  ","N","BLOGGS"
"A=E8XZC9","AME8XY0R","AME8XY15","2020-04-20 06:31:59","2020-04-20 06:31:59","RPTINP01","RPTINP01","JB                            ","Y","","MEL  ","N","BLOGGS"
"!!E8YLR0","AVE8YAJT","AVE8YAYV","2020-04-20 15:11:27","2020-04-20 15:11:27","FJUSR01 ","FJUSR01 ","JB                            ","Y","","MEL  ","N","BLOGGS"
"!FE8ZICS","!!E8YNWL","!4E8ZGU9","2020-04-21 02:03:57","2020-04-21 02:03:57","FJUSR01 ","FJUSR01 ","JB                            ","Y","","MEL  ","N","BLOGGS"
"!0E948KO","!DE93K99","!DE93NXH","2020-04-23 16:04:57","2020-04-23 16:04:57","APP1MANS","APP1MANS","JB                            ","Y","","MEL  ","N","BLOGGS"
"A2E8Y6MH","A7E8Y5AF","A7E8Y5AT","2020-04-20 09:42:44","2020-04-20 09:42:44","RPTINP01","RPTINP01","JB                            ","Y","","MEL  ","N","BLOGGS"
"J5E4FB05","J5E4FAZF","J5E4FAZP","2020-01-23 09:50:03","2020-01-23 09:50:03","HSSUPR01","HSSUPR01","JL                            ","Y","","ABB  ","N","LORETIZO"
"3FE4FBSR","3FE4FBRS","3FE4FBS2","2020-01-23 10:00:28","2020-01-23 10:00:28","HSUSER01","HSUSER01","TS                            ","Y","","ABB  ","N","STARK"
"@ME4QUQW","E2E4RAUV","@ME4QUQO","2020-01-30 06:23:31","2020-01-30 06:23:31","BRIANMOK","BRIANMOK","OL                            ","Y","CG852","AM   ","N","LOAN"
"FPE4MSO6","FPE4MRNP","FPE4MRO0","2020-01-27 11:26:57","2020-01-27 11:26:57","MGALING ","MGALING ","LN                            ","Y","","MEL  ","N","NHB"
"@*DZF8KQ","AMDPAOVM","AMDPAOVZ","2019-10-18 03:12:52","2019-10-18 03:13:13","GIBLINC ","GIBLINC ","BUSINESS VERIFICATION         ","Y","CB001","SYD  ","N","BUSINESS VERIFICATION"
"@*DZF8KS","AMDPAOVM","AMDPAOVZ","2019-10-18 03:13:44","2019-10-18 03:14:01","GIBLINC ","GIBLINC ","AGENCY                        ","Y","CB001","SYD  ","N","AGENCY"
"@*DZF8KU","AMDPAOVM","AMDPAOVZ","2019-10-18 03:14:27","2020-09-30 17:58:38","GIBLINC ","CCUISIA ","NON AGENCY                    ","Y","CB001","SYD  ","N","NON AGENCY"
"7NE4CQON","?ZE4CIA6","?ZE4CIAG","2020-01-22 14:17:19","2020-01-22 14:17:19","RPTINP01","RPTINP01","JB                            ","Y","","MEL  ","N","BLOGGS"
"J5E4FAZ1","J5E4FAXX","J5E4FAY7","2020-01-23 09:36:05","2020-01-23 09:36:05","HSSUPR01","HSSUPR01","HS                            ","Y","","ABB  ","N","STONE"
"(KE4Q1RL","(KE4Q19S","(KE4Q1AG","2020-01-29 05:16:19","2020-01-29 05:16:19","WBAYERS ","WBAYERS ","KK                            ","Y","","SYD  ","N","KESO"
"YEEFEYOL","YPEFEVVD","YEEFEXS3","2020-08-24 09:26:45","2020-08-24 09:26:45","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"EZEF8EUZ",")3EF892G","EZEF8E3T","2020-08-20 20:13:30","2020-08-20 20:13:30","INPRON01","INPRON01","BE                            ","Y","","SYD  ","N","ELLIOT"
"EJEF8GTH","E8EF8FP7","EJEF8G2B","2020-08-20 21:24:16","2020-08-20 21:24:16","INPRON01","INPRON01","BE                            ","Y","","SYD  ","N","ELLIOT"
"Y@EFF16S","Y@EFF0L8","Y@EFF0LK","2020-08-24 11:07:05","2020-08-24 11:07:05","CMARTILL","CMARTILL","IC                            ","Y","","SYD  ","N","CBAOBU"
"CAEFH8PS","CAEFH7KI","CAEFH7VR","2020-08-25 16:08:59","2020-08-25 16:08:59","INPROS01","INPROS01","JW                            ","Y","","SYD  ","N","WICK"
"CTEFHCRG","CTEFHBUM","CTEFHBUY","2020-08-25 16:09:51","2020-08-25 16:09:51","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"MKEFI8KE","P=E6K597","J*E6SOO7","2020-08-26 04:08:47","2020-08-26 04:08:47","DANUSR01","DANUSR01","JBX                           ","Y","","MEL  ","N","BLOGGS"
"M.EFIAQS","(KE4Q19S","(KE4Q1AG","2020-08-26 05:11:19","2020-08-26 05:11:19","DANUSR01","DANUSR01","KKB                           ","Y","","SYD  ","N","KESO"
"1DEFIZ1F","Y?EFF2ED","1DEFIYA9","2020-08-26 14:20:44","2020-08-26 14:20:44","INPAMT01","INPAMT01","RH                            ","Y","","SYD  ","N","HOOD"
"$ZEFJ7SX","=REFJ68W","$ZEFJ71R","2020-08-26 17:28:52","2020-08-26 17:28:52","INPAMT01","INPAMT01","RH                            ","Y","","SYD  ","N","HOOD"
"?NEFKTH2","?NEFKRY6","?NEFKSDK","2020-08-27 14:16:06","2020-08-27 14:16:06","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"UYEG6XV3","U!EG6TSS","U.EG6VXQ","2020-09-08 12:12:58","2020-09-08 12:12:58","JCUSR01 ","JCUSR01 ","TP                            ","Y","","SYD  ","N","PARTY"
":?EH7S0M","FPE4MRNP","FPE4MRO0","2020-09-28 10:41:19","2020-09-28 10:41:19","MGRAMT01","MGRAMT01","LN1                           ","Y","","MEL  ","N","NHB"
"5*EH8AIU","5$EH88NS","5NEH890E","2020-09-28 17:02:58","2020-09-28 17:02:58","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"PZEHBRQI","P!EHBPV8","PPEHBQ7W","2020-09-30 12:45:42","2020-09-30 12:45:42","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
".7EHDVSQ",".6EHDTXC",".MEHDUA1","2020-10-01 17:31:27","2020-10-01 17:31:27","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"T!EHDZG3",".QEHDXKP",".LEHDXXE","2020-10-01 18:52:15","2020-10-01 18:52:15","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"@KEHG04L","(VEHFY93","(GEHFYLT","2020-10-02 20:39:25","2020-10-02 20:39:25","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"Z1EIA4VP","Z6EIA38Z","ZMEIA3HR","2020-10-19 02:19:52","2020-10-19 02:19:52","DANUSR01","DANUSR01","JB                            ","Y","","MEL  ","N","BLOGGS"
"V;EHPKJV","G#EHBNN9","V(EHPIY8","2020-10-08 00:59:50","2020-10-08 00:59:50","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"F*EHSKA5","$$EHSFB1","FQEHSIRD","2020-10-09 15:43:05","2020-10-09 15:43:05","ARFELI01","ARFELI01","MC                            ","Y","","NDL  ","N","CAMPOMANES"
"QMEIIW62",":REIIK9J","Q;EIIUNA","2020-10-23 20:07:18","2020-10-23 20:07:18","INPALN01","INPALN01","JB                            ","Y","","MEL  ","N","BLOGGS"
